Date,Clicks,Impressions,CTR,Position
2026-07-26,0,85,0%,12.1
2026-07-27,0,76,0%,11.3
2026-07-28,0,99,0%,11.7
2026-07-29,0,129,0%,11.9
2026-07-30,0,96,0%,11.4
2026-07-31,1,112,0.89%,12.8
2026-08-01,0,131,0%,12.4
2026-08-02,0,110,0%,14.1
2026-08-03,0,90,0%,10.1
2026-08-04,0,85,0%,10.4
2026-08-05,0,101,0%,11.3
2026-08-06,0,93,0%,11.2
2026-08-07,0,98,0%,11.4
2026-08-08,0,94,0%,9.6
2026-08-09,0,90,0%,12
2026-08-10,0,77,0%,13.5
2026-08-11,0,79,0%,11.8
2026-08-12,0,82,0%,9.8
2026-08-13,0,208,0%,10.8
2026-08-14,1,126,0.79%,10.7
2026-08-15,0,156,0%,10.2
2026-08-16,0,118,0%,10.6
2026-08-17,1,110,0.91%,11.6
2026-08-18,0,119,0%,10.7
2026-08-19,0,107,0%,11.7
2026-08-20,0,88,0%,11.3
2026-08-21,0,103,0%,10.6
2026-08-22,0,112,0%,9.6
