Country,Clicks,Impressions,CTR,Position
United States,0,285,0%,18.76
United Kingdom,0,95,0%,18.74
Australia,0,49,0%,13.55
Malawi,0,39,0%,10.64
Canada,0,31,0%,10.84
Philippines,0,30,0%,11.8
Netherlands,0,14,0%,14.36
Finland,0,12,0%,10.42
Ghana,0,11,0%,11.18
Italy,0,10,0%,17.7
Germany,0,10,0%,25.3
France,0,9,0%,10
Thailand,0,9,0%,28.11
Nigeria,0,8,0%,10
South Africa,0,7,0%,10.29
Pakistan,0,7,0%,10.43
Mexico,0,7,0%,11.57
Romania,0,7,0%,13.14
Singapore,0,6,0%,10.33
Turkey,0,6,0%,22
Vietnam,0,6,0%,24
India,0,6,0%,27.33
Norway,0,5,0%,9.4
Ireland,0,5,0%,10.2
Spain,0,5,0%,11.6
Sweden,0,4,0%,9.75
Croatia,0,4,0%,10
Portugal,0,4,0%,10
Brazil,0,4,0%,10.5
Slovakia,0,4,0%,11
Saudi Arabia,0,4,0%,11.75
Morocco,0,4,0%,14.5
Israel,0,4,0%,14.75
Bangladesh,0,4,0%,21.25
Belgium,0,3,0%,8.67
Greece,0,3,0%,9.67
United Arab Emirates,0,3,0%,11
Iraq,0,3,0%,16
Russia,0,3,0%,28
Poland,0,2,0%,8.5
Kenya,0,2,0%,9
Algeria,0,2,0%,9.5
Lithuania,0,2,0%,10
Chile,0,2,0%,10.5
Denmark,0,2,0%,10.5
Qatar,0,2,0%,10.5
Serbia,0,2,0%,10.5
Cambodia,0,2,0%,11
New Zealand,0,2,0%,11
South Sudan,0,2,0%,11
Jordan,0,2,0%,13.5
Ukraine,0,2,0%,16.5
Hungary,0,2,0%,22.5
Indonesia,0,2,0%,26
Venezuela,0,2,0%,27
Egypt,0,2,0%,51.5
Moldova,0,1,0%,8
Bahrain,0,1,0%,9
Mongolia,0,1,0%,9
Albania,0,1,0%,10
Bahamas,0,1,0%,10
Costa Rica,0,1,0%,10
Cyprus,0,1,0%,10
Ecuador,0,1,0%,10
Guyana,0,1,0%,10
South Korea,0,1,0%,10
Lebanon,0,1,0%,10
Latvia,0,1,0%,10
Maldives,0,1,0%,10
Malta,0,1,0%,10
Malaysia,0,1,0%,10
U.S. Virgin Islands,0,1,0%,10
Austria,0,1,0%,11
Botswana,0,1,0%,11
China,0,1,0%,11
Colombia,0,1,0%,11
Ethiopia,0,1,0%,11
Hong Kong,0,1,0%,11
Japan,0,1,0%,11
Papua New Guinea,0,1,0%,11
Puerto Rico,0,1,0%,11
Réunion,0,1,0%,11
Tunisia,0,1,0%,11
Zambia,0,1,0%,11
Switzerland,0,1,0%,12
Georgia,0,1,0%,19
Angola,0,1,0%,22
Nepal,0,1,0%,25
Taiwan,0,1,0%,72
