calculator_name,page_title,meta_description,title_length,meta_description_length,canonical_path,title_has_brand,description_has_brand,title_has_pipe_or_dash,has_h1,h1_text,h1_length,title_equals_h1,has_schema_jsonld,schema_types,has_breadcrumb_schema,has_faq_schema,has_softwareapp_schema,word_count_estimate,issues
Sitemap.xml,,,0,0,,false,false,false,false,,0,false,false,,false,false,false,1167,MISSING_CANONICAL;MISSING_TITLE;MISSING_META_DESCRIPTION;MISSING_H1;MISSING_JSONLD
"All Calculators — Finance, Loan, Mortgage & Math Tools","All Calculators | Finance, Loan, Mortgage & Math","Quick calculations for everyday numbers. Explore calculator clusters and launch focused tools for math, finance, loans, time, and percentage planning.",48,150,/,false,false,true,true,"All Calculators — Finance, Loan, Mortgage & Math Tools",54,false,true,Organization;WebSite;WebPage;FAQPage,false,true,false,254,
All Calculators,All Calculators | Calculate How Much Online Calculator Hub,"Browse every calculator on Calculate How Much, organized by category with direct links to launch each tool and explore related finance or math topics.",58,150,/calculators/,true,true,true,true,All Calculators,15,false,true,WebSite;Organization;CollectionPage;SoftwareApplication;BreadcrumbList,true,false,true,371,LOW_WORD_COUNT
Auto Loan Comparison Calculator,Auto Loan Comparison Calculator | Compare 2 Loans,"Compare two auto loans by monthly payment, total interest, total paid, and payoff timing to see which offer costs less.",49,119,/car-loan-calculators/auto-loan-calculator/,false,false,true,true,Auto Loan Comparison Calculator,31,false,true,SoftwareApplication;BreadcrumbList,true,false,true,1209,DESC_TOO_SHORT
Car Lease Calculator,"Car Lease Calculator | Payment, Residual & Cost","Estimate car lease payments, residual value, finance charge, and total lease cost using price, money factor, upfront payment, and term.",47,135,/car-loan-calculators/car-lease-calculator/,false,false,true,true,Car Lease Calculator,20,false,true,SoftwareApplication;BreadcrumbList,true,false,true,1264,
Car Loan Calculator,Car Loan Calculator | Monthly Payment & Cost,"Estimate car loan payments, total interest, and total cost using vehicle price, deposit, trade-in, fees, tax, APR, and term.",44,124,/car-loan-calculators/car-loan-calculator/,false,false,true,true,Car Loan Calculator,19,false,true,SoftwareApplication;BreadcrumbList,true,false,true,1220,
Hire Purchase Calculator,Hire Purchase Calculator | Monthly Payment & Cost,"Estimate hire purchase payments, balloon amount, total interest, and total payable using vehicle price, deposit, APR, and term.",49,127,/car-loan-calculators/hire-purchase-calculator/,false,false,true,true,Hire Purchase Calculator,24,false,true,SoftwareApplication;BreadcrumbList,true,false,true,1169,
PCP Car Finance Calculator,"PCP Calculator | Monthly Payment, GFV & Cost","Estimate PCP payments, GFV, option fee, total interest, and total payable using price, deposit, APR, and term.",44,110,/car-loan-calculators/pcp-calculator/,false,false,true,true,PCP Car Finance Calculator,26,false,true,SoftwareApplication;BreadcrumbList,true,false,true,1282,DESC_TOO_SHORT
Contact,Contact | Calculate How Much - Feedback and Support,"Reach the Calculate How Much team for feedback, questions, or support. Learn how to get in touch without sharing personal email addresses or mailto links.",51,154,/contact-us/,true,true,true,true,Contact,7,false,true,WebPage,false,false,false,68,
Balance Transfer Credit Card Calculator,"Balance Transfer Calculator | Fees, Promo APR & Savings","Compare transfer fee, promo months, post-promo APR, payoff time, and total cost to see whether a balance transfer saves money.",55,126,/credit-card-calculators/balance-transfer-credit-card-calculator/,false,false,true,true,Balance Transfer Credit Card Calculator,39,false,true,SoftwareApplication;BreadcrumbList,true,false,true,1160,
