row_type,route,canonical_route,calculator_key,cluster_id,source_files,source_role,in_public_navigation,in_cluster_navigation,in_route_ownership,in_sitemap,has_generated_html,generated_file,duplicate_group,duplicate_status,missing_generated_html,notes
route_source_file,,,,,scripts/generate-mpa-pages.js,Primary MPA page generator that assembles public route HTML,,,,,,,,,,
route_source_file,,,,,scripts/generate-sitemap.js,Sitemap generator driven from navigation config,,,,,,,,,,
route_source_file,,,,,config/clusters/cluster-registry.json,Cluster registry and route-prefix fallback source,,,,,,,,,,
route_source_file,,,,,config/clusters/route-ownership.json,Active route ownership and canonical cluster-route contract,,,,,,,,,,
route_source_file,,,,,public/config/navigation.json,Global public navigation source for many calculator URLs,,,,,,,,,,
route_source_file,,,,,clusters/homepage/config/navigation.json,Cluster-local navigation source for homepage,,,,,,,,,,
route_source_file,,,,,clusters/math/config/navigation.json,Cluster-local navigation source for math,,,,,,,,,,
route_source_file,,,,,clusters/percentage/config/navigation.json,Cluster-local navigation source for percentage,,,,,,,,,,
route_source_file,,,,,clusters/pricing/config/navigation.json,Cluster-local navigation source for pricing,,,,,,,,,,
route_source_file,,,,,clusters/salary/config/navigation.json,Cluster-local navigation source for salary,,,,,,,,,,
route_source_file,,,,,clusters/time-and-date/config/navigation.json,Cluster-local navigation source for time-and-date,,,,,,,,,,
route_source_file,,,,,public/sitemap.xml,Current generated sitemap output used as crawlable URL source,,,,,,,,,,
route_inventory,/,/,homepage-root,homepage,config/clusters/route-ownership.json; public/index.html; public/sitemap.xml,,false,false,true,true,true,public/index.html,/,canonical,false,
route_inventory,/about-us/,/about-us/,about-us,,public/about-us/index.html; public/sitemap.xml,,false,false,false,true,true,public/about-us/index.html,,unique,false,
route_inventory,/calculators/,/,,,public/calculators/index.html; public/sitemap.xml,,false,false,false,true,true,public/calculators/index.html,/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/car-loan-calculators/auto-loan-calculator/,/car-loan-calculators/auto-loan-calculator/,car-loan-calculators/multi-car-loan,,public/calculators/car-loan-calculators/auto-loan-calculator/index.html,,false,false,false,false,true,public/calculators/car-loan-calculators/auto-loan-calculator/index.html,/car-loan-calculators/auto-loan-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
